ISBN,Title,Author,Price,Stock,Category,Description
9781778313174,"Sample Book Title 1","Author Name 14",44.32,62,3,"This is a comprehensive description for sample book 1."
9783517750629,"Sample Book Title 2","Author Name 10",20.79,99,5,"This is a comprehensive description for sample book 2."
9780645652687,"Sample Book Title 3","Author Name 40",14.24,34,5,"This is a comprehensive description for sample book 3."
9786011578252,"Sample Book Title 4","Author Name 40",20.01,13,4,"This is a comprehensive description for sample book 4."
9785207110467,"Sample Book Title 5","Author Name 23",24.91,84,3,"This is a comprehensive description for sample book 5."
9781606099123,"Sample Book Title 6","Author Name 37",46.81,92,3,"This is a comprehensive description for sample book 6."
9786437095529,"Sample Book Title 7","Author Name 44",15.48,33,1,"This is a comprehensive description for sample book 7."
9787728250843,"Sample Book Title 8","Author Name 25",24.48,75,5,"This is a comprehensive description for sample book 8."
9788250452756,"Sample Book Title 9","Author Name 42",33.92,35,3,"This is a comprehensive description for sample book 9."
9782601313463,"Sample Book Title 10","Author Name 9",22.03,69,5,"This is a comprehensive description for sample book 10."
9784576812899,"Sample Book Title 11","Author Name 10",34.30,33,5,"This is a comprehensive description for sample book 11."
9789707289114,"Sample Book Title 12","Author Name 15",35.12,8,1,"This is a comprehensive description for sample book 12."
9787152931034,"Sample Book Title 13","Author Name 47",34.00,50,4,"This is a comprehensive description for sample book 13."
9783407496813,"Sample Book Title 14","Author Name 28",35.21,48,1,"This is a comprehensive description for sample book 14."
9780107451317,"Sample Book Title 15","Author Name 41",19.66,80,1,"This is a comprehensive description for sample book 15."
9783448253355,"Sample Book Title 16","Author Name 18",39.80,39,3,"This is a comprehensive description for sample book 16."
9781412386734,"Sample Book Title 17","Author Name 46",30.26,88,5,"This is a comprehensive description for sample book 17."
9787471822031,"Sample Book Title 18","Author Name 36",30.15,49,3,"This is a comprehensive description for sample book 18."
9788255561428,"Sample Book Title 19","Author Name 33",32.98,51,2,"This is a comprehensive description for sample book 19."
9781449687331,"Sample Book Title 20","Author Name 7",21.90,74,3,"This is a comprehensive description for sample book 20."
9780332752445,"Sample Book Title 21","Author Name 27",25.32,100,1,"This is a comprehensive description for sample book 21."
9786162282683,"Sample Book Title 22","Author Name 49",39.99,4,5,"This is a comprehensive description for sample book 22."
9781223721847,"Sample Book Title 23","Author Name 3",46.21,28,4,"This is a comprehensive description for sample book 23."
9780539046840,"Sample Book Title 24","Author Name 19",8.00,85,5,"This is a comprehensive description for sample book 24."
9786978783376,"Sample Book Title 25","Author Name 34",43.95,26,2,"This is a comprehensive description for sample book 25."
9784765526914,"Sample Book Title 26","Author Name 44",15.79,8,2,"This is a comprehensive description for sample book 26."
9787448493361,"Sample Book Title 27","Author Name 38",9.02,65,1,"This is a comprehensive description for sample book 27."
9786457017761,"Sample Book Title 28","Author Name 42",20.21,18,2,"This is a comprehensive description for sample book 28."
9782495056974,"Sample Book Title 29","Author Name 32",17.72,78,2,"This is a comprehensive description for sample book 29."
9787100890933,"Sample Book Title 30","Author Name 11",39.15,14,4,"This is a comprehensive description for sample book 30."
9785160237117,"Sample Book Title 31","Author Name 14",32.51,7,4,"This is a comprehensive description for sample book 31."
9789554653144,"Sample Book Title 32","Author Name 33",43.09,33,4,"This is a comprehensive description for sample book 32."
